Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Monterrey challenger|1.11|5.65|Kovacevic A.|USA|2015|76.0|183.0|right|25.0|Leite W.|Brazil|2008|72.0|178.0|right|32.0|hard|20220306
Monterrey challenger|1.47|2.61|Doumbia S.|France|2007|78.0|183.0|right|33.0|Sanchez M.|Mexico|2005|||right|33.0|hard|20220306
Monterrey challenger|1.03|9.82|Nakagawa N.|Japan|2011|75.0|180.0|right|27.0|Aguilera Guerrero E.|Mexico|2020|||right|21.0|hard|20220306
Monterrey challenger|1.34|3.08|Blumberg W.|USA|2014|84.0|188.0|right|26.0|King E.|USA|2007|79.0|185.0|left|32.0|hard|20220306
Monterrey challenger|1.14|4.7|Klier Junior G.|Brazil|2016|||right|24.0|Reboul F.|France|2011|||right|28.0|hard|20220306
Monterrey challenger|2.3|1.55|Patino L.|Mexico|2008|||right|30.0|Broom C.|GreatBritain|2015|82.0|178.0|right|26.0|hard|20220306
Monterrey challenger|1.56|2.29|Shimabukuro S.|Japan|2015|75.0|183.0|right|27.0|Pinnington Jones J.|GreatBritain|2020|||right|21.0|hard|20220306
Monterrey challenger|1.81|1.91|Kirchheimer S.|USA|2013|79.0|185.0|right|29.0|Smith R.|USA|2015|75.0|191.0|left|25.0|hard|20220306
Monterrey challenger|4.06|1.2|Pacheco Mendez R.|Mexico|2021|73.0|188.0|left|19.0|Mridha J.|Sweden|2011|75.0|183.0|right|29.0|hard|20220306
Monterrey challenger|3.67|1.24|Zhu E.|USA|2014|70.0|185.0|right|26.0|Andreev A.|Bulgaria|2015|66.0|180.0|right|23.0|hard|20220306
Monterrey challenger|3.67|1.24|Folliot Q.|France|2015|||right|25.0|Dibildox A.|Mexico|2022|||right||hard|20220306
Monterrey challenger|1.81|1.89|Brymer G.|USA|2013|70.0|185.0|right|29.0|Cozbinov A.|Moldavsko|2012|||right|29.0|hard|20220306
Roseto Degli Abruzzi chall.|1.02|10.67|Arnaldi M.|Italy|2018|||right|23.0|Corsaro G.|Italy|2022|||right|20.0|clay|20220306
Roseto Degli Abruzzi chall.|1.58|2.21|Giacalone O.|Italy|2008|80.0|180.0|right|32.0|Balzerani R.|Italy|2013|80.0|185.0|right|25.0|clay|20220306
Roseto Degli Abruzzi chall.|1.01|10.7|Darderi L.|Italy|2019|||right|22.0|Boagnon Y.|Italy|2022|||right|20.0|clay|20220306
Roseto Degli Abruzzi chall.|1.13|4.91|Lavagno E.|Italy|2014|||left|26.0|Balaji N.|India|2006|73.0|180.0|right|34.0|clay|20220306
Roseto Degli Abruzzi chall.|1.05|9.84|Moraing O.|Germany|2015|||right|24.0|Biagiotti R.|Denmark|2021|||right||clay|20220306
Roseto Degli Abruzzi chall.|1.27|3.14|Hemery C.|France|2012|83.0|191.0|right|29.0|Ricca G.|Italy|2012|||right|29.0|clay|20220306
Roseto Degli Abruzzi chall.|1.55|2.28|Gautier A.|France|2012|75.0|198.0|right|27.0|Picchione A.|Italy|2017|||right|26.0|clay|20220306
Roseto Degli Abruzzi chall.|1.68|2.07|Capecchi D.|Italy|2012|75.0|180.0|right|28.0|Piraino G.|Italy|2018|||left|20.0|clay|20220306
Roseto Degli Abruzzi chall.|1.88|1.77|Miceli M.|Italy|2015|||right|25.0|Brugnerotto M.|Italy|2013|70.0|180.0|left|28.0|clay|20220306
Roseto Degli Abruzzi chall.|1.1|6.53|Gimeno Valero C.|Spain|2016|80.0|188.0|right|23.0|Sorrentino L.|Italy|2015|||right|26.0|clay|20220306
Roseto Degli Abruzzi chall.|1.31|3.1|Ejupovic E.|Germany|2009|90.0|193.0|right|31.0|Di Nicola G.|Italy|2010|||right|28.0|clay|20220306
Roseto Degli Abruzzi chall.|1.02|11.37|Sanchez Izquierdo N.|Spain|2015|77.0|185.0|right|25.0|Nedunchezhiyan J.|India|2004|69.0|173.0|left|35.0|clay|20220306
Santiago challenger|1.02|12.0|Casanova H.|Argentina|2010|76.0|178.0|right|30.0|Castro C.|Chile|2009|||right|31.0|clay|20220306
